stock,date,calendar_rows,db_rows,db_open_rows,db_high_rows,db_low_rows,db_close_rows,db_volume_rows,db_amount_rows,adj_rows,has_limit_row,prev_close,up_limit,down_limit,qlib_open_non_null,qlib_high_non_null,qlib_low_non_null,qlib_close_non_null,qlib_volume_non_null,qlib_amount_non_null,qlib_factor_non_null,qlib_limit_up_non_null,qlib_limit_down_non_null,qlib_prev_close_non_null,qlib_up_limit_price_non_null,qlib_down_limit_price_non_null,patch_required_fields,verify_required_fields,patchable_candidate
000006.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,6.36,7.0,5.72,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,7.23,7.95,6.51,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,7.28,8.01,6.55,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,7.2,7.92,6.48,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,7.14,7.85,6.43,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,7.13,7.84,6.42,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000007.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,7.13,7.84,6.42,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000010.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,2.98,3.28,2.68,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000010.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,2.99,3.29,2.69,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000010.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,3.29,3.62,2.96,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000010.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,3.62,3.98,3.26,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,5.21,5.73,4.69,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,5.31,5.84,4.78,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,5.21,5.73,4.69,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,5.27,5.8,4.74,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,5.32,5.85,4.79,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,5.25,5.78,4.73,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000016.SZ,2025-07-16,240,240,240,240,240,240,240,240,1,True,4.98,5.48,4.48,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000017.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.39,7.03,5.75,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000017.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.4,7.04,5.76,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000017.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.37,7.01,5.73,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000017.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,6.36,7.0,5.72,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000019.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.79,7.47,6.11,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000019.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.78,7.46,6.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,19.77,21.75,17.79,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,20.07,22.08,18.06,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,20.17,22.19,18.15,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,20.31,22.34,18.28,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,21.19,23.31,19.07,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,20.96,23.06,18.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000032.SZ,2025-07-16,240,240,240,240,240,240,240,240,1,True,21.2,23.32,19.08,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000035.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,4.31,4.74,3.88,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000035.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,4.34,4.77,3.91,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000037.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,10.56,11.62,9.5,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000037.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,10.53,11.58,9.48,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000039.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,8.03,8.83,7.23,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000039.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,8.06,8.87,7.25,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000039.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,8.04,8.84,7.24,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000039.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,7.92,8.71,7.13,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000042.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,7.52,8.27,6.77,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000042.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,7.96,8.76,7.16,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000045.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,10.98,12.08,9.88,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000048.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,15.74,17.31,14.17,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000048.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,15.73,17.3,14.16,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000048.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,15.69,17.26,14.12,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000048.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,16.03,17.63,14.43,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000048.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,16.03,17.63,14.43,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000049.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,22.24,24.46,20.02,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000049.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,22.55,24.81,20.3,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000049.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,22.38,24.62,20.14,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000049.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,22.43,24.67,20.19,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000049.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,22.45,24.7,20.21,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000050.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,8.49,9.34,7.64,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000050.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,8.61,9.47,7.75,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000050.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,8.6,9.46,7.74,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000050.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,8.7,9.57,7.83,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000058.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,8.3,9.13,7.47,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000061.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.47,7.12,5.82,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000061.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.51,7.16,5.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000061.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.52,7.17,5.87,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000061.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,6.56,7.22,5.9,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,31.89,35.08,28.7,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,32.72,35.99,29.45,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,32.86,36.15,29.57,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,33.12,36.43,29.81,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,33.44,36.78,30.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000063.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,33.19,36.51,29.87,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000065.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,11.13,12.24,10.02,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000065.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,11.11,12.22,10.0,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000065.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,11.15,12.27,10.04,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000065.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,11.2,12.32,10.08,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000065.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,11.25,12.38,10.13,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000088.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,4.54,4.99,4.09,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000088.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,4.56,5.02,4.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000088.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,4.56,5.02,4.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000088.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,4.6,5.06,4.14,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000090.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,3.64,4.0,3.28,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000090.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,3.66,4.03,3.29,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000090.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,3.66,4.03,3.29,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000090.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,3.63,3.99,3.27,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000099.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,21.34,23.47,19.21,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000099.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,21.45,23.6,19.31,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000099.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,21.47,23.62,19.32,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000099.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,21.52,23.67,19.37,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000155.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,10.1,11.11,9.09,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000155.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,10.1,11.11,9.09,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,7.96,8.76,7.16,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,8.06,8.87,7.25,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,8.08,8.89,7.27,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,8.14,8.95,7.33,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,8.16,8.98,7.34,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000156.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,8.05,8.86,7.25,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000166.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,5.02,5.52,4.52,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000166.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,5.06,5.57,4.55,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,8.35,9.19,7.52,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,8.52,9.37,7.67,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,8.48,9.33,7.63,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,8.63,9.49,7.77,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,8.67,9.54,7.8,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000301.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,8.64,9.5,7.78,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000401.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,4.52,4.97,4.07,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000401.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,4.56,5.02,4.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000401.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,4.56,5.02,4.1,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000403.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,18.13,19.94,16.32,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000403.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,17.87,19.66,16.08,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000408.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,42.32,46.55,38.09,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000408.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,42.26,46.49,38.03,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000408.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,41.56,45.72,37.4,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000409.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,11.2,12.32,10.08,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000409.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,11.28,12.41,10.15,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000409.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,11.17,12.29,10.05,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000409.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,11.18,12.3,10.06,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000409.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,11.24,12.36,10.12,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000410.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.43,7.07,5.79,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000410.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.46,7.11,5.81,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000410.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.46,7.11,5.81,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000410.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,6.49,7.14,5.84,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000420.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,3.97,4.37,3.57,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000420.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,3.99,4.39,3.59,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000426.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,17.01,18.71,15.31,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000426.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,16.94,18.63,15.25,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000426.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,16.62,18.28,14.96,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000426.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,16.84,18.52,15.16,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000503.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,10.32,11.35,9.29,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000503.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,10.44,11.48,9.4,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000504.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,9.36,9.83,8.89,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000504.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,9.29,9.75,8.83,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.51,7.16,5.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.51,7.16,5.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.47,7.12,5.82,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,6.52,7.17,5.87,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,6.61,7.27,5.95,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000505.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,6.7,7.37,6.03,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000506.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,9.84,10.82,8.86,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000506.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,10.44,11.48,9.4,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000506.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,10.4,11.44,9.36,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000506.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,10.81,11.89,9.73,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000506.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,10.33,11.36,9.3,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,5.54,6.09,4.99,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,5.6,6.16,5.04,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,5.57,6.13,5.01,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,5.61,6.17,5.05,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,5.61,6.17,5.05,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-15,240,240,240,240,240,240,240,240,1,True,5.64,6.2,5.08,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000507.SZ,2025-07-16,240,240,240,240,240,240,240,240,1,True,5.54,6.09,4.99,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000509.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,3.45,3.8,3.11,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000509.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,3.46,3.81,3.11,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000509.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,3.48,3.83,3.13,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000509.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,3.49,3.84,3.14,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000509.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,3.48,3.83,3.13,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000516.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,5.17,5.69,4.65,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000516.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,5.21,5.73,4.69,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000516.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,5.16,5.68,4.64,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000521.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,7.39,8.13,6.65,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000523.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,3.27,3.6,2.94,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000523.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,3.3,3.63,2.97,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000523.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,3.31,3.64,2.98,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000523.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,3.32,3.65,2.99,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000525.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,7.31,8.04,6.58,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000525.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,7.27,8.0,6.54,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000525.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,7.38,8.12,6.64,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000525.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,7.19,7.91,6.47,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000525.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,7.15,7.87,6.44,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000526.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,47.37,52.11,42.63,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000526.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,47.0,51.7,42.3,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000526.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,48.11,52.92,43.3,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000526.SZ,2025-07-11,240,240,240,240,240,240,240,240,1,True,47.77,52.55,42.99,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000526.SZ,2025-07-14,240,240,240,240,240,240,240,240,1,True,48.06,52.87,43.25,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000531.SZ,2025-07-08,240,240,240,240,240,240,240,240,1,True,6.52,7.17,5.87,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000531.SZ,2025-07-09,240,240,240,240,240,240,240,240,1,True,6.6,7.26,5.94,240,240,240,240,240,240,240,240,240,240,240,240,,,False
000531.SZ,2025-07-10,240,240,240,240,240,240,240,240,1,True,6.69,7.36,6.02,240,240,240,240,240,240,240,240,240,240,240,240,,,False
